date,open,high,low,close,volume,market_cap,foreign,usd,ndq,s&p,kosdaq,kospi,base rate
20101213,50900,51300,50100,50600,2671201,20055411000000,27.71999931335449,"1,145.90",22.71,124.56,513.41,1996.59,2.5
20101214,50800,51700,50600,51300,2339221,20332857000000,27.809999465942383,"1,139.25",22.48,124.67,515.0,2009.05,2.5
20101215,51700,52000,51100,51600,2029449,20451763000000,27.86000061035156,"1,155.25",22.53,124.1,514.69,2017.48,2.5
20101216,51300,51800,50300,50700,1943902,20100826000000,27.799999237060547,"1,155.25",23.46,124.82,511.71,2009.24,2.5
20101217,50800,51000,50200,50300,2157838,19942239000000,27.739999771118164,"1,156.05",23.5,124.3,510.74,2026.3,2.5
20101220,49200,50700,49100,50300,3021889,19942239000000,27.82999992370605,"1,155.10",23.49,124.6,497.95,2020.28,2.5
20101221,50800,51200,49800,49850,2800754,19763830000000,27.790000915527344,"1,156.15",24.16,125.39,506.67,2037.09,2.5
20101222,49950,52400,49450,52100,4810275,20655878000000,28.06999969482422,"1,154.30",24.16,125.78,505.01,2038.11,2.5
20101223,52300,53300,51700,52100,4715093,20695162000000,28.06999969482422,"1,152.30",23.82,125.6,502.39,2037.53,2.5
20101224,52400,53100,51300,51800,2816265,20575996000000,28.100000381469727,"1,150.95",23.94,125.65,499.63,2029.6,2.5
20101227,51700,51700,50000,50000,3382538,19861000000000,28.11000061035156,"1,149.10",23.81,125.83,496.68,2022.19,2.5
20101228,50300,50800,49850,49900,2884836,19821278000000,28.149999618530277,"1,144.50",0.0,0.0,494.95,2033.32,2.5
20101229,50300,51400,50100,51300,2003256,20377386000000,28.1200008392334,"1,146.50",23.97,125.92,502.31,2043.49,2.5
20101230,51100,51500,50300,50600,1977978,20117295000000,28.09000015258789,"1,130.95",23.79,125.72,510.69,2051.0,2.5
20110103,51100,52500,50800,52500,3227347,20872687000000,28.350000381469727,"1,124.65",24.11,127.05,518.05,2070.08,3.25
20110104,53000,55500,52500,55100,8331489,21906382000000,28.81999969482422,"1,125.50",23.92,126.98,521.35,2085.14,3.25
20110105,55400,57500,55400,56900,5479639,22622017000000,29.0,"1,123.50",23.65,127.64,523.81,2082.55,3.25
20110106,57700,58000,56100,57100,4449754,22717463000000,29.11000061035156,"1,123.20",23.55,127.39,527.64,2077.61,3.25
20110107,57400,58500,56600,58300,3306467,23194888000000,29.18000030517578,"1,122.20",23.38,127.14,530.84,2086.2,3.25
20110110,58400,60300,57600,59700,3682380,23751883000000,29.200000762939453,"1,127.50",23.46,126.98,533.98,2080.81,3.25
20110111,59100,59300,57600,58600,4400069,23314244000000,28.959999084472656,"1,126.00",23.77,127.43,533.67,2088.32,3.25
20110112,58600,59200,57800,58800,2284987,23393815000000,28.90999984741211,"1,111.50",23.96,128.58,535.43,2094.95,3.25
20110113,58800,59300,57900,58200,3933468,23156499000000,28.65999984741211,"1,112.50",24.11,128.37,534.27,2089.48,3.25
20110114,57900,59500,57100,58900,4953056,23435014000000,28.459999084472656,"1,115.05",24.37,129.3,535.2,2108.17,3.25
20110117,58600,59300,57600,57900,2511234,23037136000000,28.40999984741211,"1,115.50",24.4,129.52,533.01,2099.85,3.25
20110118,57600,58600,57000,57000,4111002,22679046000000,28.40999984741211,"1,113.00",23.78,128.25,529.02,2096.48,3.25
20110119,57200,57600,55700,57000,4932528,22679046000000,28.479999542236328,"1,112.60",0.0,0.0,532.97,2115.69,3.25
20110120,57200,58100,57100,57900,2334125,23044257000000,28.489999771118164,"1,124.50",24.01,128.08,533.36,2106.66,3.25
20110121,57600,57800,56000,56000,3463260,22288056000000,28.399999618530277,"1,118.50",24.3,128.37,525.75,2069.92,3.25
20110124,56100,56800,54900,56300,2961793,22407456000000,28.399999618530277,"1,118.50",24.56,129.1,527.09,2082.16,3.25
20110125,57100,57500,56400,57000,2175023,22686057000000,28.43000030517578,"1,121.00",24.3,129.17,522.96,2086.67,3.25
20110126,57300,59400,57300,59400,4469387,23641259000000,28.530000686645508,"1,116.50",24.51,129.67,524.71,2110.46,3.25
20110127,59600,59900,58400,59100,3200354,23526232000000,28.549999237060547,"1,114.45",25.21,129.99,528.63,2115.01,3.25
20110128,59000,59100,57100,57300,4937316,22809697000000,28.38999938964844,"1,115.95",24.5,127.72,527.46,2107.87,3.25
20110131,55800,56300,54700,54700,5597188,21774702000000,28.100000381469727,"1,119.88",24.48,128.68,521.38,2069.73,3.25
20110201,54900,56200,54000,55200,4071942,21973740000000,27.959999084472656,"1,113.95",25.33,130.74,524.5,2072.03,3.25
20110207,56400,57800,56000,57400,3429698,22849505000000,28.06999969482422,"1,103.50",26.78,131.97,531.09,2081.74,3.25
20110208,57700,58800,56800,56900,4444422,22651207000000,28.149999618530277,"1,101.00",25.84,132.57,531.47,2069.7,3.25
20110209,57000,57700,55100,55200,3643352,21974457000000,27.950000762939453,"1,110.65",27.58,132.27,525.74,2045.58,3.25
20110210,54800,56400,54800,55000,2945277,21894840000000,27.780000686645508,"1,119.00",27.82,132.32,522.7,2008.5,3.25
20110211,55300,56500,54600,54700,2808871,21775413000000,27.670000076293945,"1,126.65",28.12,133.11,517.73,1977.19,3.25
20110214,55800,57000,55000,56900,2953890,22651434000000,27.690000534057617,"1,124.00",29.64,133.43,520.35,2014.59,3.25
20110215,57100,57500,56000,57100,2180946,22731053000000,27.649999618530277,"1,123.80",28.28,133.01,520.88,2010.52,3.25
20110216,56900,57400,55700,55800,1745840,22213533000000,27.63999938964844,"1,117.80",28.47,133.85,520.08,1989.11,3.25
20110217,56300,56800,54500,55500,2214608,22095216000000,27.59000015258789,"1,114.85",28.73,134.25,511.08,1977.22,3.25
20110218,55500,56200,55000,56200,1967436,22373894000000,27.670000076293945,"1,112.40",29.09,134.53,518.55,2013.14,3.25
20110221,56400,57800,56000,57600,3295233,22931251000000,28.030000686645508,"1,119.35",0.0,0.0,520.59,2005.3,3.25
20110222,56700,57900,55800,57100,3515909,22732195000000,28.0,"1,129.80",28.0,131.83,512.06,1969.92,3.25
20110223,56500,57300,56300,56600,2574508,22533139000000,28.13999938964844,"1,130.20",28.0,131.02,507.16,1961.63,3.25
20110224,56700,57600,56100,56400,2465820,22455942000000,28.209999084472656,"1,131.25",28.02,130.93,501.11,1949.88,3.25
20110225,57100,57600,56100,57400,2478671,22854097000000,28.209999084472656,"1,127.00",28.41,132.33,509.33,1963.43,3.25
20110228,56900,58200,56700,57400,2850800,22854097000000,28.200000762939453,"1,125.35",28.61,133.15,504.46,1939.3,3.25
20110302,57400,58900,57400,58800,4005984,23411514000000,28.32999992370605,"1,123.50",27.84,131.21,503.46,1928.24,3.25
20110303,59500,62700,59500,62700,6785176,24964318000000,28.76000022888184,"1,115.90",28.39,133.47,510.94,1970.66,3.25
20110304,63500,64200,62200,62500,4635173,24885125000000,28.84000015258789,"1,117.85",28.02,132.47,518.79,2004.68,3.25
20110307,62500,63700,62300,63000,2577434,25084206000000,28.86000061035156,"1,119.35",28.24,131.43,518.77,1980.27,3.25
20110308,63200,63400,62300,62600,2441222,24924941000000,28.739999771118164,"1,115.95",28.38,132.58,524.99,1996.32,3.25
20110309,63100,64200,62600,62900,2605053,25044389000000,28.739999771118164,"1,114.70",27.75,132.39,522.7,2001.47,3.25
20110310,62500,62700,61000,61600,3389115,24529612000000,28.59000015258789,"1,127.45",26.98,129.94,522.17,1981.58,3.25
20110311,60600,61100,59900,60600,2652359,24131404000000,28.479999542236328,"1,126.35",27.19,130.84,518.55,1955.54,3.25
20110314,62000,62400,60200,61200,4143258,24370329000000,28.5,"1,125.00",26.37,130.05,502.98,1971.23,3.25
20110315,61200,62100,56700,59200,5433688,23573913000000,28.32999992370605,"1,135.05",25.82,128.56,489.44,1923.92,3.25
20110316,59800,60500,59100,60400,2603876,24051763000000,28.38999938964844,"1,137.95",24.49,126.17,492.36,1957.97,3.25
20110317,58900,59900,58600,59500,3078262,23699028000000,28.280000686645508,"1,135.45",24.58,127.85,487.81,1959.03,3.25
20110318,60000,61500,59800,60900,3042435,24256652000000,28.32999992370605,"1,125.45",24.79,127.76,494.79,1981.13,3.25
20110321,61300,61800,61000,61600,1559607,24535464000000,28.31999969482422,"1,121.45",25.36,129.74,506.53,2003.42,3.25
20110322,61900,64100,61200,63800,4652514,25411731000000,28.40999984741211,"1,121.00",25.15,129.29,507.8,2013.66,3.25
20110323,64100,65300,63800,64700,4576934,25770204000000,28.420000076293945,"1,122.90",25.33,129.66,510.17,2012.18,3.25
20110324,65300,67300,65200,66900,4381736,26650685000000,28.59000015258789,"1,118.95",25.58,130.9,513.7,2036.78,3.25
20110325,67900,68400,66200,66700,3321611,26571012000000,28.6299991607666,"1,111.05",25.3,131.3,514.57,2054.04,3.25
20110328,66100,67800,66000,67400,2279939,26849868000000,28.65999984741211,"1,114.10",25.28,130.98,512.74,2056.39,3.25
20110329,67000,68700,66000,68700,3622917,27367744000000,28.6200008392334,"1,111.50",25.75,131.86,514.19,2072.13,3.25
20110330,69400,69800,68300,68600,3532270,27327907000000,28.549999237060547,"1,103.45",25.79,132.77,520.21,2091.38,3.25
20110331,69500,69600,68600,69000,3676528,27488772000000,28.81999969482422,"1,096.50",25.84,132.59,525.42,2106.7,3.25
